捻	念
捩	戾
捨	舍
捺	奈
敝	
敖	
救	求
教	孝
敗	
啟	
敏	每
敘	余
敕	
敔	吾
斜	余
斛	
斬	
族	
旋	
旌	生
旎	尼
晝	
晚	免
晤	吾
晨	辰
晦	每
晞	希
曹	
勗	
望	
梁	
梯	弟
梢	肖
梓	辛
梵	凡
桿	旱
桶	甬
梱	困
梧	吾
梗	更
械	戒
梃	廷
棄	
梭	夋
梆	邦
梅	每
梔	
條	
梨	利
梟	
梡	完
梂	求
欲	谷
殺	
毫	毛
毬	求
氫	巠
涎	延
涼	京
淳	享
淙	宗
液	夜
淡	炎
淌	尚
淤	於
添	忝
淺	戔
清	青
淇	其
淋	林
涯	厓
淑	叔
涮	刷
淞	松
淹	奄
涸	固
混	昆
淵	
淅	析
淒	妻
渚	者
涵	函
淚	戾
淫	㸒
淘	匋
淪	侖
深	
淮	隹
淨	爭
淆	肴
淄	甾
涪	
淬	卒
涿	豖
淦	金
烹	亨
焉	
焊	旱
烽	
烯	希
爽	
牽	
犁	利
猜	青
猛	孟
猖	昌
猓	果
猙	爭
率	
琅	良
琊	邪
球	求
理	里
現	見
琍	利
瓠	瓜
瓶	并
瓷	次
甜	甘
產	
略	各
畦	圭
畢	
異	
疏	疋
痔	寺
痕	艮
疵	此
痊	全
痍	夷
皎	交
盔	灰
盒	合
盛	成
眷	
眾	
眼	艮
眶	匡
眸	牟
眺	兆
硫	
硃	朱
硎	刑
祥	羊
票	
祭	
移	多
窒	至
窕	兆
笠	立
笨	本
笛	由
第	
符	付
笙	生
笞	台
笮	乍
粒	立
粗	且
粕	白
絆	半
絃	玄
統	充
紮	札
紹	召
紼	弗
絀	出
細	
紳	申
組	且
累	
終	冬
紲	世
紱	犮
缽	本
羞	丑
羚	令
翌	立
翎	令
習	
耜	
聊	卯
聆	令
脯	甫
脖	孛
脣	辰
脫	兌
脩	攸
脰	豆
脤	辰
舂	
舵	它
舷	玄
舶	白
船	
莎	沙
莞	完
莘	辛
荸	孛
莢	夾
莖	巠
莽	
莫	
莒	呂
莊	壯
莓	每
莉	利
莠	秀
荷	何
荻	狄
荼	余
莆	甫
莧	見
處	
彪	
蛇	它
蛀	主
蚶	甘
蛄	古
蚵	可
蛆	且
蛋	
蚱	乍
蚯	丘
蛉	令
術	朮
袞	
袈	加
被	皮
袒	旦
袖	由
袍	包
袋	代
覓	
規	
訪	方
訝	牙
訣	
訥	內
許	午
設	
訟	公
訛	化
訢	斤
豉	支
豚	豕
販	反
責	
貫	
貨	化
貪	今
貧	分
赧	
赦	赤
趾	止
趺	夫
軛	厄
軟	
這	
逍	肖
通	甬
逗	豆
連	
速	束
逝	折
逐	
逕	巠
逞	呈
造	告
透	秀
逢	夆
逖	狄
逛	狂
途	余
部	咅
郭	享
都	者
酗	凶
野	予
釵	叉
釦	口
釣	
釧	川
釭	工
釩	凡
閉	
陪	咅
陵	夌
陳	
陸	坴
陰	
陴	卑
陶	匋
陷	臽
陬	取
雀	
雪	
雩	
章	
竟	
頂	
頃	
魚	
鳥	
鹵	
鹿	
麥	
麻	
傢	家
傍	旁
傅	尃
備	
傑	桀
傀	鬼
傖	倉
傘	
傚	效
最	
凱	豈
割	害
剴	豈
創	倉
剩	乘
勞	
勝	
勛	員
博	
厥	
啻	帝
喀	客
喧	宣
啼	帝
喊	咸
喝	曷
喘	耑
喂	畏
喜	
喪	
喔	屋
喇	剌
喋	
喃	南
喳	查
單	
喟	胃
唾	垂
喲	約
喚	奐
喻	俞
喬	夭
喱	
啾	秋
喉	侯
喫	契
喙	
圍	韋
堯	
堪	甚
場	
堤	是
堰	
報	
堡	保
堝	
堠	侯
壹	
壺	
奠	
婷	亭
媚	眉
婿	胥
媒	某
媛	爰
媧	
孳	
孱	
寒	
富	畐
寓	禺
寐	未
尊	
尋	
就	
嵌	
嵐	
崴	威
嵇	
巽	
幅	畐
帽	冒
幀	貞
幃	韋
幾	
廊	郎
廁	則
廂	相
廄	
弼	百
彭	
復	复
循	盾
徨	皇
惑	或
惡	亞
悲	非
悶	門
惠	
愜	
愣	
惺	星
愕	咢
惰	左
惻	則
惴	耑
慨	既
惱	
愎	
惶	皇
愉	俞
愀	秋
愒	曷
戟	
扉	非
掣	
掌	尚
描	苗
揀	柬
揩	皆
揉	柔
揆	癸
揍	奏
插	臿
揣	耑
提	是
握	屋
揖	咠
揭	曷
揮	軍
捶	垂
援	爰
揪	秋
換	奐
摒	屏
揚	昜
揹	背
敞	尚
敦	享
敢	
散	
斑	
斐	非
斯	其
普	
晰	析
晴	青
晶	
景	京
暑	者
智	知
晾	京
晷	咎
曾	
替	
期	其
朝	
棺	官
棕	宗
棠	尚
棘	
棗	
椅	奇
棟	東
棵	果
森	
棧	
棹	卓
棒	奉
棲	妻
棣	
棋	其
棍	昆
植	直
椒	
椎	隹
棉	帛
棚	朋
楮	者
棻	芬
款	
欺	其
欽	
殘	
殖	直
殼	
毯	炎
氮	炎
氯	彔
氬	亞
港	巷
游	斿
湔	前
渡	度
渲	宣
湧	勇
湊	奏
渠	洰
渥	屋
渣	查
減	咸
湛	甚
湘	相
渤	勃
湖	胡
湮	垔
渭	胃
渦	咼
湯	昜
渴	曷
湍	耑
渺	眇
測	則
湃	拜
渝	俞
渾	軍
滋	兹
溉	既
渙	奐
湎	面
湣	
湄	眉
湲	爰
湩	重
湟	皇
焙	
焚	
焦	
焰	臽
無	
然	
煮	者
焜	昆
牌	卑
犄	奇
犀	
猶	酋
猥	畏
猴	侯
猩	星
琺	法
琪	其
琳	林
琢	豖
琥	虎
琵	比
琶	巴
琴	今
琯	官
琛	
琦	奇
琨	昆
甥	生
甦	
畫	
番	
痢	利
痛	甬
痣	志
痙	巠
痘	豆
痞	否
痠	
登	
發	
皖	完
皓	告
皴	
盜	
睏	困
短	豆
硝	肖
硬	更
硯	見
稍	肖
稈	旱
程	呈
稅	兌
稀	希
窘	君
窗	囪
窖	告
童	
竣	夋
等	
策	朿
筆	
筐	匡
筒	同
答	合
筍	旬
筋	
筏	伐
筑	
粟	
粥	米
絞	交
結	吉
絨	戎
絕	
紫	此
絮	如
絲	
絡	各
給	
絢	旬
絰	
絳	
善	
翔	羊
翕	
耋	
聒	
肅	
腕	宛
腔	空
腋	夜
腑	府
腎	
脹	長
腆	典
脾	卑
腌	奄
腓	非
腴	臾
舒	予
舜	
菩	咅
萃	卒
菸	於
萍	泙
菠	波
菅	官
萋	妻
菁	青
華	
菱	夌
菴	奄
著	者
萊	來
菰	孤
萌	明
菌	囷
菽	叔
菲	非
菊	匊
萸	臾
萎	委
萄	匋
菜	采
萇	長
菔	服
菟	兔
虛	虍
蛟	交
蛙	圭
蛭	至
蛔	回
蛛	朱
蛤	合
蛐	曲
蛞	
街	圭
裁	
裂	列
袱	伏
覃	
視	
註	主
詠	永
評	平
詞	司
証	正
詁	古
詔	召
詛	且
詐	乍
詆	氐
訴	斥
診	
訶	可
詖	皮
象	
貂	召
貯	
貼	占
貳	
貽	台
賁	
費	弗
賀	加
貴	
買	
貶	乏
貿	
貸	代
越	戉
超	召
趁	㐱
跎	它
距	巨
跋	犮
跚	
跑	包
跌	失
跛	皮
跆	台
軻	可
軸	由
軼	失
辜	古
逮	隶
逵	坴
週	周
逸	
進	
逶	委
鄂	咢
郵	
鄉	
郾	匽
酣	甘
酥	
量	
鈔	少
鈕	丑
鈣	丐
鈉	內
鈞	勻
鈍	屯
鈐	今
鈇	夫
鈑	反
閔	文
閏	
開	
閑	
間	
閒	
閎	
隊	
階	皆
隋	
陽	昜
隅	禺
隆	
隍	皇
陲	垂
隄	是
雁	厂
雅	牙
雄	厷
集	
雇	
雯	文
雲	云
韌	刃
項	工
順	
須	
飧	
飪	壬
飯	反
飩	屯
飲	
飭	
馮	
馭	
黃	
黍	
黑	
亂	
傭	庸
債	責
傲	敖
傳	專
僅	堇
傾	頃
催	崔
傷	
傻	
傯	
僇	翏
剿	巢
剷	產
剽	票
募	莫
勦	巢
勤	堇
勢	
勣	責
匯	淮
嗟	差
嗨	海
嗓	桑
嗦	索
嗎	馬
嗜	耆
嗇	
嗑	盍
